2024-07-03 22:47:26,238 - INFO - Record: {'time_stamp': '2024-07-03 20:08', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,244 - INFO - Record: {'time_stamp': '2024-07-03 20:09', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,248 - INFO - Record: {'time_stamp': '2024-07-03 20:10', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,254 - INFO - Record: {'time_stamp': '2024-07-03 20:11', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,261 - INFO - Record: {'time_stamp': '2024-07-03 20:12', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,266 - INFO - Record: {'time_stamp': '2024-07-03 20:13', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,274 - INFO - Record: {'time_stamp': '2024-07-03 20:14', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,280 - INFO - Record: {'time_stamp': '2024-07-03 20:15', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,285 - INFO - Record: {'time_stamp': '2024-07-03 20:16', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,291 - INFO - Record: {'time_stamp': '2024-07-03 20:17', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,296 - INFO - Record: {'time_stamp': '2024-07-03 20:18', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,301 - INFO - Record: {'time_stamp': '2024-07-03 20:19', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,308 - INFO - Record: {'time_stamp': '2024-07-03 20:20', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,314 - INFO - Record: {'time_stamp': '2024-07-03 20:21', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,319 - INFO - Record: {'time_stamp': '2024-07-03 20:22', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 2054}
2024-07-03 22:47:26,325 - INFO - Record: {'time_stamp': '2024-07-03 20:23', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,331 - INFO - Record: {'time_stamp': '2024-07-03 20:24', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,336 - INFO - Record: {'time_stamp': '2024-07-03 20:25', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,342 - INFO - Record: {'time_stamp': '2024-07-03 20:26', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,348 - INFO - Record: {'time_stamp': '2024-07-03 20:27', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,354 - INFO - Record: {'time_stamp': '2024-07-03 20:28', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,359 - INFO - Record: {'time_stamp': '2024-07-03 20:29', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,364 - INFO - Record: {'time_stamp': '2024-07-03 20:30', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,369 - INFO - Record: {'time_stamp': '2024-07-03 20:31', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,376 - INFO - Record: {'time_stamp': '2024-07-03 20:32', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,381 - INFO - Record: {'time_stamp': '2024-07-03 20:33', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,394 - INFO - Record: {'time_stamp': '2024-07-03 20:34', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,400 - INFO - Record: {'time_stamp': '2024-07-03 20:35', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,407 - INFO - Record: {'time_stamp': '2024-07-03 20:36', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,415 - INFO - Record: {'time_stamp': '2024-07-03 20:37', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,422 - INFO - Record: {'time_stamp': '2024-07-03 20:38', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,428 - INFO - Record: {'time_stamp': '2024-07-03 20:39', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,434 - INFO - Record: {'time_stamp': '2024-07-03 20:40', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,440 - INFO - Record: {'time_stamp': '2024-07-03 20:41', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,445 - INFO - Record: {'time_stamp': '2024-07-03 20:42', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 1027}
2024-07-03 22:47:26,450 - INFO - Record: {'time_stamp': '2024-07-03 20:43', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 1027}
2024-07-03 22:47:26,456 - INFO - Record: {'time_stamp': '2024-07-03 20:44', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,461 - INFO - Record: {'time_stamp': '2024-07-03 20:45', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,466 - INFO - Record: {'time_stamp': '2024-07-03 20:46', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,471 - INFO - Record: {'time_stamp': '2024-07-03 20:47', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,478 - INFO - Record: {'time_stamp': '2024-07-03 20:48', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,484 - INFO - Record: {'time_stamp': '2024-07-03 20:49', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,489 - INFO - Record: {'time_stamp': '2024-07-03 20:50', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,495 - INFO - Record: {'time_stamp': '2024-07-03 20:51', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,499 - INFO - Record: {'time_stamp': '2024-07-03 20:52', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,504 - INFO - Record: {'time_stamp': '2024-07-03 20:53', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,511 - INFO - Record: {'time_stamp': '2024-07-03 20:54', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,516 - INFO - Record: {'time_stamp': '2024-07-03 20:55', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,523 - INFO - Record: {'time_stamp': '2024-07-03 20:56', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,529 - INFO - Record: {'time_stamp': '2024-07-03 20:57', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,534 - INFO - Record: {'time_stamp': '2024-07-03 20:58', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,541 - INFO - Record: {'time_stamp': '2024-07-03 20:59', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,548 - INFO - Record: {'time_stamp': '2024-07-03 21:00', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,553 - INFO - Record: {'time_stamp': '2024-07-03 21:01', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 1027}
2024-07-03 22:47:26,561 - INFO - Record: {'time_stamp': '2024-07-03 21:02', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 1027}
2024-07-03 22:47:26,570 - INFO - Record: {'time_stamp': '2024-07-03 21:03', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,577 - INFO - Record: {'time_stamp': '2024-07-03 21:04', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,582 - INFO - Record: {'time_stamp': '2024-07-03 21:05', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,588 - INFO - Record: {'time_stamp': '2024-07-03 21:06', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,594 - INFO - Record: {'time_stamp': '2024-07-03 21:07', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,600 - INFO - Record: {'time_stamp': '2024-07-03 21:08', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,605 - INFO - Record: {'time_stamp': '2024-07-03 21:09', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,613 - INFO - Record: {'time_stamp': '2024-07-03 21:10', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,620 - INFO - Record: {'time_stamp': '2024-07-03 21:11', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,626 - INFO - Record: {'time_stamp': '2024-07-03 21:12', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,631 - INFO - Record: {'time_stamp': '2024-07-03 21:13', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
2024-07-03 22:47:26,637 - INFO - Record: {'time_stamp': '2024-07-03 21:14', 'open_price': 37, 'close_price': 37, 'high_price': 37, 'low_price': 37, 'volume': 0}
