time_stamp,open_price,close_price,high_price,low_price,volume
2024-04-01 21:20,22,22,22,22,0
2024-04-01 21:10,22,22,22,22,0
2024-04-01 21:00,22,22,22,22,0
2024-04-01 20:50,22,22,22,22,0
2024-04-01 20:40,22,22,22,22,202203
2024-04-01 20:30,22,22,22,22,0
2024-04-01 20:20,22,22,22,22,11934
2024-04-01 20:10,22,22,22,22,0
2024-04-01 20:00,22,22,22,22,0
2024-04-01 19:50,22,22,22,22,0
2024-04-01 19:40,23,22,23,22,100000
2024-04-01 19:30,23,23,23,23,0
2024-04-01 19:20,23,23,23,23,0
2024-04-01 19:10,23,23,23,23,0
2024-04-01 19:00,23,23,23,23,0
2024-04-01 18:50,23,23,23,23,0
2024-04-01 18:40,23,23,23,23,0
2024-04-01 18:30,23,23,23,23,0
2024-04-01 18:20,23,23,23,23,0
2024-04-01 18:10,23,23,23,23,0
2024-04-01 18:00,23,23,23,23,0
2024-04-01 17:50,23,23,23,23,0
2024-04-01 17:40,23,23,23,23,0
2024-04-01 17:30,23,23,23,23,0
2024-04-01 17:20,23,23,23,23,0
2024-04-01 17:10,23,23,23,23,0
2024-04-01 17:00,23,23,23,23,0
2024-04-01 16:50,23,23,23,23,0
2024-04-01 16:40,23,23,23,23,0
2024-04-01 16:30,23,23,23,23,0
2024-04-01 16:20,23,23,23,23,0
2024-04-01 16:10,23,23,23,23,0
2024-04-01 16:00,23,23,23,23,0
2024-04-01 15:50,23,23,23,23,0
2024-04-01 15:40,23,23,23,23,0
2024-04-01 15:30,23,23,23,23,0
2024-04-01 15:20,23,23,23,23,0
2024-04-01 15:10,23,23,23,23,0
2024-04-01 15:00,23,23,23,23,0
2024-04-01 14:50,23,23,23,23,0
2024-04-01 14:40,23,23,23,23,0
2024-04-01 14:30,23,23,23,23,0
2024-04-01 14:20,23,23,23,23,0
2024-04-01 14:10,23,23,23,23,990
2024-04-01 14:00,23,23,23,23,869
2024-04-01 13:50,23,23,23,23,0
2024-04-01 13:40,23,23,23,23,0
2024-04-01 13:30,23,23,23,23,0
2024-04-01 13:20,23,23,23,23,4347
2024-04-01 13:10,23,23,23,23,0
2024-04-01 13:00,23,23,23,23,0
2024-04-01 12:50,23,23,23,23,0
2024-04-01 12:40,23,23,23,23,0
2024-04-01 12:30,23,23,23,23,0
2024-04-01 12:20,23,23,23,23,0
2024-04-01 12:10,23,23,23,23,0
2024-04-01 12:00,23,23,23,23,0
2024-04-01 11:50,23,23,23,23,0
2024-04-01 11:40,23,23,23,23,0
2024-04-01 11:30,23,23,23,23,2173
2024-04-01 11:20,23,23,23,23,0
2024-04-01 11:10,23,23,23,23,4347
2024-04-01 11:00,22,23,23,22,10983
2024-04-01 10:50,22,22,22,22,0
2024-04-01 10:40,22,22,22,22,0
2024-04-01 10:30,23,22,23,22,100
2024-04-01 10:20,23,23,23,23,4347
2024-04-01 10:10,23,23,23,23,1044
2024-04-01 10:00,23,23,23,23,0
2024-04-01 09:50,23,23,23,23,0
2024-04-01 09:40,23,23,23,23,111
2024-04-01 09:30,23,23,23,23,1030
2024-04-01 09:20,23,23,23,23,1030
2024-04-01 09:10,23,23,23,23,11030
2024-04-01 09:00,23,23,23,23,1030
2024-04-01 08:50,23,23,23,23,0
2024-04-01 08:40,23,23,23,23,0
2024-04-01 08:30,23,23,23,23,0
2024-04-01 08:20,23,23,23,23,0
2024-04-01 08:10,23,23,23,23,0
2024-04-01 08:00,23,23,23,23,0
2024-04-01 07:50,23,23,23,23,0
2024-04-01 07:40,23,23,23,23,0
2024-04-01 07:30,23,23,23,23,0
2024-04-01 07:20,23,23,23,23,0
2024-04-01 07:10,23,23,23,23,0
2024-04-01 07:00,23,23,23,23,0
2024-04-01 06:50,23,23,23,23,0
2024-04-01 06:40,23,23,23,23,4347
2024-04-01 06:30,23,23,23,23,0
2024-04-01 06:20,23,23,23,23,0
2024-04-01 06:10,23,23,23,23,0
2024-04-01 06:00,23,23,23,23,0
2024-04-01 05:50,23,23,23,23,0
2024-04-01 05:40,23,23,23,23,0
2024-04-01 05:30,23,23,23,23,0
2024-04-01 05:20,23,23,23,23,0
2024-04-01 05:10,23,23,23,23,0
2024-04-01 05:00,23,23,23,23,0
2024-04-01 04:50,23,23,23,23,0
2024-04-01 04:40,23,23,23,23,0
2024-04-01 04:30,23,23,23,23,0
2024-04-01 04:20,23,23,23,23,0
2024-04-01 04:10,23,23,23,23,0
2024-04-01 04:00,23,23,23,23,0
2024-04-01 03:50,23,23,23,23,0
2024-04-01 03:40,23,23,23,23,0
2024-04-01 03:30,22,23,23,22,4261
2024-04-01 03:20,22,22,22,22,0
2024-04-01 03:10,22,22,22,22,0
2024-04-01 03:00,23,22,23,22,2179
2024-04-01 02:50,23,23,23,23,0
2024-04-01 02:40,23,23,23,23,0
2024-04-01 02:30,23,23,23,23,0
2024-04-01 02:20,23,23,23,23,0
2024-04-01 02:10,23,23,23,23,0
2024-04-01 02:00,23,23,23,23,0
2024-04-01 01:50,23,23,23,23,0
2024-04-01 01:40,23,23,23,23,0
2024-04-01 01:30,23,23,23,23,0
2024-04-01 01:20,23,23,23,23,0
2024-04-01 01:10,23,23,23,23,0
2024-04-01 01:00,23,23,23,23,0
2024-04-01 00:50,23,23,23,23,0
2024-04-01 00:40,23,23,23,23,0
2024-04-01 00:30,23,23,23,23,0
2024-04-01 00:20,23,23,23,23,0
2024-04-01 00:10,23,23,23,23,0
2024-04-01 00:00,23,23,23,23,0
2024-03-31 23:50,23,23,23,23,0
2024-03-31 23:40,23,23,23,23,0
2024-03-31 23:30,23,23,23,23,0
2024-03-31 23:20,23,23,23,23,4348
2024-03-31 23:10,22,22,22,22,0
2024-03-31 23:00,22,22,22,22,0
2024-03-31 22:50,22,22,22,22,0
2024-03-31 22:40,22,22,22,22,0
2024-03-31 22:30,22,22,22,22,0
2024-03-31 22:20,22,22,22,22,0
2024-03-31 22:10,22,22,22,22,0
2024-03-31 22:00,22,22,22,22,0
2024-03-31 21:50,23,22,23,22,492
2024-03-31 21:40,23,23,23,23,1043
2024-03-31 21:30,23,23,23,23,1043
2024-03-31 21:20,23,23,23,23,0
2024-03-31 21:10,23,23,23,23,0
2024-03-31 21:00,23,23,23,23,0
2024-03-31 20:50,23,23,23,23,0
2024-03-31 20:40,23,23,23,23,0
2024-03-31 20:30,23,23,23,23,0
2024-03-31 20:20,23,23,23,23,0
2024-03-31 20:10,23,23,23,23,0
2024-03-31 20:00,23,23,23,23,0
2024-03-31 19:50,23,23,23,23,0
2024-03-31 19:40,23,23,23,23,0
2024-03-31 19:30,23,23,23,23,0
2024-03-31 19:20,23,23,23,23,0
2024-03-31 19:10,23,23,23,23,0
